"Sr.No","Round ▲▼","Institute ▲▼","Program ▲▼","Stream ▲▼","Quota ▲▼","Category ▲▼","Seat Gender ▲▼","Opening Rank ▲▼","Closing Rank ▲▼","Remark ▲▼"
"381","Round 1","ALIGARH COLLEGE OF ENGG. & TECH,ALIGARH","Computer Science & Engineering","B.E./B. Tech (Lateral Entry)","Home State","OPEN(GIRL)","Female Seats","101205.00","101205.00","Fresh Only"
"382","Round 1","ALIGARH COLLEGE OF ENGG. & TECH,ALIGARH","Computer Science & Engineering","B.E./B. Tech (Lateral Entry)","Home State","OPEN","Both Male and Female Seats","166802.00","166802.00","Fresh Only"
"383","Round 1","INSTITUTE OF ENGG. & RURAL TECHNOLOGY,ALLAHABAD","Civil Engineering","B.E./B. Tech (Lateral Entry)","Home State","BC","Both Male and Female Seats","44369.00","44369.00","Fresh Only"
"384","Round 1","INSTITUTE OF ENGG. & RURAL TECHNOLOGY,ALLAHABAD","Civil Engineering","B.E./B. Tech (Lateral Entry)","Home State","EWS(OPEN)","Both Male and Female Seats","119296.00","119296.00","Fresh Only"
"385","Round 1","INSTITUTE OF ENGG. & RURAL TECHNOLOGY,ALLAHABAD","Civil Engineering","B.E./B. Tech (Lateral Entry)","Home State","OPEN(GIRL)","Female Seats","39054.00","39054.00","Fresh Only"
"386","Round 1","INSTITUTE OF ENGG. & RURAL TECHNOLOGY,ALLAHABAD","Civil Engineering","B.E./B. Tech (Lateral Entry)","Home State","OPEN","Both Male and Female Seats","34187.00","39922.00","Fresh Only"
"387","Round 1","INSTITUTE OF ENGG. & RURAL TECHNOLOGY,ALLAHABAD","Electrical Engineering","B.E./B. Tech (Lateral Entry)","Home State","BC","Both Male and Female Seats","87365.00","88597.00","Fresh Only"
"388","Round 1","INSTITUTE OF ENGG. & RURAL TECHNOLOGY,ALLAHABAD","Electrical Engineering","B.E./B. Tech (Lateral Entry)","Home State","OPEN(GIRL)","Female Seats","129977.00","129977.00","Fresh Only"
"389","Round 1","INSTITUTE OF ENGG. & RURAL TECHNOLOGY,ALLAHABAD","Electrical Engineering","B.E./B. Tech (Lateral Entry)","Home State","OPEN","Both Male and Female Seats","63488.00","75651.00","Fresh Only"
"390","Round 1","INSTITUTE OF ENGG. & RURAL TECHNOLOGY,ALLAHABAD","Electrical Engineering","B.E./B. Tech (Lateral Entry)","Home State","SC","Both Male and Female Seats","202662.00","202662.00","Fresh Only"
"391","Round 1","INSTITUTE OF ENGG. & RURAL TECHNOLOGY,ALLAHABAD","Electronics Engineering","B.E./B. Tech (Lateral Entry)","Home State","BC","Both Male and Female Seats","153245.00","153245.00","Fresh Only"
"392","Round 1","INSTITUTE OF ENGG. & RURAL TECHNOLOGY,ALLAHABAD","Electronics Engineering","B.E./B. Tech (Lateral Entry)","Home State","EWS(OPEN)","Both Male and Female Seats","149225.00","149225.00","Fresh Only"
"393","Round 1","INSTITUTE OF ENGG. & RURAL TECHNOLOGY,ALLAHABAD","Electronics Engineering","B.E./B. Tech (Lateral Entry)","Home State","OPEN(GIRL)","Female Seats","106846.00","106846.00","Fresh Only"
"394","Round 1","INSTITUTE OF ENGG. & RURAL TECHNOLOGY,ALLAHABAD","Electronics Engineering","B.E./B. Tech (Lateral Entry)","Home State","OPEN","Both Male and Female Seats","111078.00","134837.00","Fresh Only"
"395","Round 1","INSTITUTE OF ENGG. & RURAL TECHNOLOGY,ALLAHABAD","Mechanical Engineering","B.E./B. Tech (Lateral Entry)","Home State","BC(Girl)","Female Seats","133189.00","133189.00","Fresh Only"
"396","Round 1","INSTITUTE OF ENGG. & RURAL TECHNOLOGY,ALLAHABAD","Mechanical Engineering","B.E./B. Tech (Lateral Entry)","Home State","BC","Both Male and Female Seats","112901.00","112901.00","Fresh Only"
"397","Round 1","INSTITUTE OF ENGG. & RURAL TECHNOLOGY,ALLAHABAD","Mechanical Engineering","B.E./B. Tech (Lateral Entry)","Home State","OPEN(GIRL)","Female Seats","127526.00","127526.00","Fresh Only"
"398","Round 1","INSTITUTE OF ENGG. & RURAL TECHNOLOGY,ALLAHABAD","Mechanical Engineering","B.E./B. Tech (Lateral Entry)","Home State","OPEN","Both Male and Female Seats","55101.00","99299.00","Fresh Only"
"399","Round 1","INSTITUTE OF ENGG. & RURAL TECHNOLOGY,ALLAHABAD","Computer Science & Engineering","B.E./B. Tech (Lateral Entry)","Home State","BC","Both Male and Female Seats","69550.00","89015.00","Fresh Only"
"400","Round 1","INSTITUTE OF ENGG. & RURAL TECHNOLOGY,ALLAHABAD","Computer Science & Engineering","B.E./B. Tech (Lateral Entry)","Home State","EWS(OPEN)","Both Male and Female Seats","129920.00","129920.00","Fresh Only"
"401","Round 1","INSTITUTE OF ENGG. & RURAL TECHNOLOGY,ALLAHABAD","Computer Science & Engineering","B.E./B. Tech (Lateral Entry)","Home State","OPEN","Both Male and Female Seats","62128.00","66219.00","Fresh Only"
"402","Round 1","INSTITUTE OF ENGG. & RURAL TECHNOLOGY,ALLAHABAD","Computer Science & Engineering","B.E./B. Tech (Lateral Entry)","Home State","SC","Both Male and Female Seats","147193.00","147193.00","Fresh Only"
"403","Round 1","INSTITUTE OF ENGG. & RURAL TECHNOLOGY,ALLAHABAD","Industrial Production Engineering","B.E./B. Tech (Lateral Entry)","Home State","OPEN","Both Male and Female Seats","216531.00","216531.00","Fresh Only"
"404","Round 1","INSTITUTE OF ENGG. & RURAL TECHNOLOGY,ALLAHABAD","Instrumentation and Control Engineering","B.E./B. Tech (Lateral Entry)","Home State","BC","Both Male and Female Seats","198468.00","198468.00","Fresh Only"
"405","Round 1","INSTITUTE OF ENGG. & RURAL TECHNOLOGY,ALLAHABAD","Instrumentation and Control Engineering","B.E./B. Tech (Lateral Entry)","Home State","OPEN","Both Male and Female Seats","87838.00","158245.00","Fresh Only"
"406","Round 1","INDIAN INSTITUTE OF CARPET TECHNOLOGY,BHADOHI","Carpet & Textile Technology","B.E./B. Tech (Lateral Entry)","Home State","BC","Both Male and Female Seats","181047.00","201437.00","Fresh Only"
"407","Round 1","INDIAN INSTITUTE OF CARPET TECHNOLOGY,BHADOHI","Carpet & Textile Technology","B.E./B. Tech (Lateral Entry)","Home State","OPEN","Both Male and Female Seats","130027.00","144421.00","Fresh Only"
"408","Round 1","INDIAN INSTITUTE OF CARPET TECHNOLOGY,BHADOHI","Carpet & Textile Technology","B.E./B. Tech (Lateral Entry)","Home State","SC","Both Male and Female Seats","206052.00","206052.00","Fresh Only"
"409","Round 1","INSTITUTE OF TECHNOLOGY & MANAGEMENT,GORAKHPUR","Civil Engineering","B.E./B. Tech (Lateral Entry)","Home State","OPEN","Both Male and Female Seats","118294.00","118294.00","Fresh Only"
"410","Round 1","INSTITUTE OF TECHNOLOGY & MANAGEMENT,GORAKHPUR","Computer Science & Engineering","B.E./B. Tech (Lateral Entry)","Home State","OPEN(GIRL)","Female Seats","40523.00","94456.00","Fresh Only"
"411","Round 1","INSTITUTE OF TECHNOLOGY & MANAGEMENT,GORAKHPUR","Computer Science & Engineering","B.E./B. Tech (Lateral Entry)","Home State","OPEN","Both Male and Female Seats","155163.00","155163.00","Fresh Only"
"412","Round 1","INSTITUTE OF TECHNOLOGY & MANAGEMENT,GORAKHPUR","Computer Science & Engineering (FW)","B.E./B. Tech (Lateral Entry)","Home State","OPEN(TF)","Both Male and Female Seats","143941.00","143941.00","Fresh Only"
"413","Round 1","INSTITUTE OF TECHNOLOGY & MANAGEMENT,GORAKHPUR","BBA","BBA/BMS","Home State","OPEN(GIRL)","Female Seats","100059.00","470642.00","Fresh Only"
"414","Round 1","INSTITUTE OF TECHNOLOGY & MANAGEMENT,GORAKHPUR","BBA","BBA/BMS","Home State","OPEN","Both Male and Female Seats","217658.00","526430.00","Fresh Only"
"415","Round 1","INSTITUTE OF TECHNOLOGY & MANAGEMENT,GORAKHPUR","BCA","BCA","Home State","OPEN(GIRL)","Female Seats","161095.00","555004.00","Fresh Only"
"416","Round 1","INSTITUTE OF TECHNOLOGY & MANAGEMENT,GORAKHPUR","BCA","BCA","Home State","OPEN","Both Male and Female Seats","289679.00","556165.00","Fresh Only"
"417","Round 1","SHRI RAM SWAROOP MEMORIAL COLLEGE OF ENGG. & MANAGEMENT,LUCKNOW","Civil Engineering","B.E./B. Tech (Lateral Entry)","Home State","OPEN","Both Male and Female Seats","96047.00","184517.00","Fresh Only"
"418","Round 1","SHRI RAM SWAROOP MEMORIAL COLLEGE OF ENGG. & MANAGEMENT,LUCKNOW","Information Technology","B.E./B. Tech (Lateral Entry)","Home State","OPEN(GIRL)","Female Seats","175574.00","175574.00","Fresh Only"
"419","Round 1","SHRI RAM SWAROOP MEMORIAL COLLEGE OF ENGG. & MANAGEMENT,LUCKNOW","Electrical Engineering","B.E./B. Tech (Lateral Entry)","Home State","OPEN(GIRL)","Female Seats","195066.00","195066.00","Fresh Only"
"420","Round 1","SHRI RAM SWAROOP MEMORIAL COLLEGE OF ENGG. & MANAGEMENT,LUCKNOW","Computer Science & Engineering","B.E./B. Tech (Lateral Entry)","Home State","OPEN(GIRL)","Female Seats","114226.00","114226.00","Fresh Only"
"421","Round 1","SHRI RAM SWAROOP MEMORIAL COLLEGE OF ENGG. & MANAGEMENT,LUCKNOW","Computer Science & Engineering","B.E./B. Tech (Lateral Entry)","Home State","OPEN","Both Male and Female Seats","122422.00","214892.00","Fresh Only"
"422","Round 1","SHRI RAM SWAROOP MEMORIAL COLLEGE OF ENGG. & MANAGEMENT,LUCKNOW","Computer Science And Engineering(Data Science)","B.E./B. Tech (Lateral Entry)","Home State","OPEN","Both Male and Female Seats","229145.00","229145.00","Fresh Only"
"423","Round 1","SAROJ INSTITUTE OF TECH. & MANAGEMENT,LUCKNOW","Civil Engineering","B.E./B. Tech (Lateral Entry)","Home State","OPEN","Both Male and Female Seats","213208.00","213208.00","Fresh Only"
"424","Round 1","SAROJ INSTITUTE OF TECH. & MANAGEMENT,LUCKNOW","Electrical Engineering","B.E./B. Tech (Lateral Entry)","Home State","BC","Both Male and Female Seats","226624.00","226624.00","Fresh Only"
"425","Round 1","SAROJ INSTITUTE OF TECH. & MANAGEMENT,LUCKNOW","Electrical Engineering","B.E./B. Tech (Lateral Entry)","Home State","OPEN","Both Male and Female Seats","152953.00","188123.00","Fresh Only"
"426","Round 1","SAROJ INSTITUTE OF TECH. & MANAGEMENT,LUCKNOW","Computer Science & Engineering","B.E./B. Tech (Lateral Entry)","Home State","OPEN","Both Male and Female Seats","157467.00","187568.00","Fresh Only"
"427","Round 1","I.I.M.T. ENGG. COLLEGE,MEERUT","Electrical & Electronics Engineering","B.E./B. Tech (Lateral Entry)","Home State","OPEN","Both Male and Female Seats","223374.00","223374.00","Fresh Only"
"428","Round 1","I.I.M.T. ENGG. COLLEGE,MEERUT","Artificial Inelligence (AI) And Data Science","B.E./B. Tech (Lateral Entry)","Home State","OPEN","Both Male and Female Seats","169733.00","169733.00","Fresh Only"
"429","Round 1","I.I.M.T. ENGG. COLLEGE,MEERUT","BCA","BCA","Home State","OPEN","Both Male and Female Seats","136217.00","345614.00","Fresh Only"
"430","Round 1","ABES INSTITUTE OF TECHNOLOGY,GHAZIABAD","BCA","BCA","Home State","EWS(GL)","Female Seats","462203.00","462203.00","Fresh Only"
"431","Round 1","BHARAT INSTITUTE OF TECHNOLOGY,MEERUT","Electrical & Electronics Engineering","B.E./B. Tech (Lateral Entry)","Home State","OPEN","Both Male and Female Seats","220770.00","220770.00","Fresh Only"
"432","Round 1","BHARAT INSTITUTE OF TECHNOLOGY,MEERUT","Bachelor of Pharmacy","B. Pharma (Lateral Entry)","Home State","OPEN","Both Male and Female Seats","515190.00","580583.00","Fresh Only"
"433","Round 1","GREATER NOIDA INSTITUTE OF TECHNOLOGY,GAUTAM BUDDH NAGAR","MCA(Integrated)","M.C.A. (INTEGRATED)","Home State","OPEN","Both Male and Female Seats","89398.00","214763.00","Fresh Only"
"434","Round 1","GREATER NOIDA INSTITUTE OF TECHNOLOGY,GAUTAM BUDDH NAGAR","Civil Engineering","B.E./B. Tech (Lateral Entry)","Home State","OPEN","Both Male and Female Seats","231642.00","231642.00","Fresh Only"
"435","Round 1","GREATER NOIDA INSTITUTE OF TECHNOLOGY,GAUTAM BUDDH NAGAR","Computer Science & Engineering","B.E./B. Tech (Lateral Entry)","Home State","OPEN(GIRL)","Female Seats","127585.00","205130.00","Fresh Only"
"436","Round 1","GREATER NOIDA INSTITUTE OF TECHNOLOGY,GAUTAM BUDDH NAGAR","Computer Science & Engineering","B.E./B. Tech (Lateral Entry)","Home State","OPEN","Both Male and Female Seats","162232.00","189531.00","Fresh Only"
"437","Round 1","KASHI INSTITUTE OF TECHNOLOGY,VARANASI","Civil Engineering","B.E./B. Tech (Lateral Entry)","Home State","OPEN(GIRL)","Female Seats","158676.00","158676.00","Fresh Only"
"438","Round 1","GREATER NOIDA INSTITUTE OF TECHNOLOGY,GAUTAM BUDDH NAGAR","Computer Science & Engineering (FW)","B.E./B. Tech (Lateral Entry)","Home State","OPEN(TF)","Both Male and Female Seats","114791.00","124069.00","Fresh Only"
"439","Round 1","GREATER NOIDA INSTITUTE OF TECHNOLOGY,GAUTAM BUDDH NAGAR","Computer Science And Engineering(Data Science)","B.E./B. Tech (Lateral Entry)","Home State","OPEN","Both Male and Female Seats","176981.00","176981.00","Fresh Only"
"440","Round 1","GREATER NOIDA INSTITUTE OF TECHNOLOGY,GAUTAM BUDDH NAGAR","BBA","BBA/BMS","Home State","OPEN(GIRL)","Female Seats","152681.00","534020.00","Fresh Only"
"441","Round 1","GREATER NOIDA INSTITUTE OF TECHNOLOGY,GAUTAM BUDDH NAGAR","BBA","BBA/BMS","Home State","OPEN","Both Male and Female Seats","233983.00","540125.00","Fresh Only"
"442","Round 1","GREATER NOIDA INSTITUTE OF TECHNOLOGY,GAUTAM BUDDH NAGAR","BBA (FW)","BBA/BMS","Home State","OPEN(TF)","Both Male and Female Seats","243555.00","550827.00","Fresh Only"
"443","Round 1","GREATER NOIDA INSTITUTE OF TECHNOLOGY,GAUTAM BUDDH NAGAR","BCA","BCA","Home State","OPEN(GIRL)","Female Seats","38947.00","509265.00","Fresh Only"
"444","Round 1","GREATER NOIDA INSTITUTE OF TECHNOLOGY,GAUTAM BUDDH NAGAR","BCA","BCA","Home State","OPEN","Both Male and Female Seats","116129.00","549124.00","Fresh Only"
"445","Round 1","GREATER NOIDA INSTITUTE OF TECHNOLOGY,GAUTAM BUDDH NAGAR","BCA (FW)","BCA","Home State","OPEN(TF)","Both Male and Female Seats","122223.00","503741.00","Fresh Only"
"446","Round 1","NOIDA INSTITUTE OF ENGG. & TECHNOLOGY,GAUTAM BUDDH NAGAR","MCA(Integrated)","M.C.A. (INTEGRATED)","Home State","OPEN(GIRL)","Female Seats","312247.00","312247.00","Fresh Only"
"447","Round 1","NOIDA INSTITUTE OF ENGG. & TECHNOLOGY,GAUTAM BUDDH NAGAR","MCA(Integrated)","M.C.A. (INTEGRATED)","Home State","OPEN","Both Male and Female Seats","66531.00","190570.00","Fresh Only"
"448","Round 1","NOIDA INSTITUTE OF ENGG. & TECHNOLOGY,GAUTAM BUDDH NAGAR","MBA(Integrated)","M.B.A. (INTEGRATED)","Home State","OPEN(GIRL)","Female Seats","303582.00","303582.00","Fresh Only"
"449","Round 1","NOIDA INSTITUTE OF ENGG. & TECHNOLOGY,GAUTAM BUDDH NAGAR","MBA(Integrated)","M.B.A. (INTEGRATED)","Home State","OPEN","Both Male and Female Seats","159610.00","525604.00","Fresh Only"
"450","Round 1","NOIDA INSTITUTE OF ENGG. & TECHNOLOGY,GAUTAM BUDDH NAGAR","Computer Science","B.E./B. Tech (Lateral Entry)","Home State","OPEN","Both Male and Female Seats","93045.00","93045.00","Fresh Only"
"451","Round 1","NOIDA INSTITUTE OF ENGG. & TECHNOLOGY,GAUTAM BUDDH NAGAR","Computer Science & Engineering","B.E./B. Tech (Lateral Entry)","Home State","OPEN(GIRL)","Female Seats","102132.00","102132.00","Fresh Only"
"452","Round 1","NOIDA INSTITUTE OF ENGG. & TECHNOLOGY,GAUTAM BUDDH NAGAR","Computer Science & Engineering","B.E./B. Tech (Lateral Entry)","Home State","OPEN","Both Male and Female Seats","103449.00","169190.00","Fresh Only"
"453","Round 1","NOIDA INSTITUTE OF ENGG. & TECHNOLOGY,GAUTAM BUDDH NAGAR","Computer Science & Engineering (Artificial Intelligence)","B.E./B. Tech (Lateral Entry)","Home State","OPEN","Both Male and Female Seats","131344.00","131344.00","Fresh Only"
"454","Round 1","NOIDA INSTITUTE OF ENGG. & TECHNOLOGY,GAUTAM BUDDH NAGAR","Computer Science & Engineering (Artificial Intelligence) (FW)","B.E./B. Tech (Lateral Entry)","Home State","OPEN(TF)","Both Male and Female Seats","90061.00","90061.00","Fresh Only"
"455","Round 1","NOIDA INSTITUTE OF ENGG. & TECHNOLOGY,GAUTAM BUDDH NAGAR","Computer Science & Engineering (Artificial Intelligence & Machine Learning) (FW)","B.E./B. Tech (Lateral Entry)","Home State","OPEN(TF)","Both Male and Female Seats","75409.00","75409.00","Fresh Only"
"456","Round 1","NOIDA INSTITUTE OF ENGG. & TECHNOLOGY,GAUTAM BUDDH NAGAR","Computer Science And Engineering(Data Science)","B.E./B. Tech (Lateral Entry)","Home State","OPEN","Both Male and Female Seats","204759.00","204759.00","Fresh Only"
"457","Round 1","NOIDA INSTITUTE OF ENGG. & TECHNOLOGY,GAUTAM BUDDH NAGAR","Computer Science And Engineering(Data Science) (FW)","B.E./B. Tech (Lateral Entry)","Home State","OPEN(TF)","Both Male and Female Seats","132567.00","132567.00","Fresh Only"
"458","Round 1","NOIDA INSTITUTE OF ENGG. & TECHNOLOGY,GAUTAM BUDDH NAGAR","Computer Science & Engineering (Artificial Intelligence & Machine Learning)","B.E./B. Tech (Lateral Entry)","Home State","OPEN","Both Male and Female Seats","124871.00","124871.00","Fresh Only"
"459","Round 1","NOIDA INSTITUTE OF ENGG. & TECHNOLOGY,GAUTAM BUDDH NAGAR","BBA","BBA/BMS","Home State","OPEN(GIRL)","Female Seats","307207.00","361970.00","Fresh Only"
"460","Round 1","NOIDA INSTITUTE OF ENGG. & TECHNOLOGY,GAUTAM BUDDH NAGAR","BBA","BBA/BMS","Home State","OPEN","Both Male and Female Seats","397696.00","461984.00","Fresh Only"
"461","Round 1","NOIDA INSTITUTE OF ENGG. & TECHNOLOGY,GAUTAM BUDDH NAGAR","BCA","BCA","Home State","OPEN(GIRL)","Female Seats","156841.00","351915.00","Fresh Only"
"462","Round 1","NOIDA INSTITUTE OF ENGG. & TECHNOLOGY,GAUTAM BUDDH NAGAR","BCA","BCA","Home State","OPEN","Both Male and Female Seats","53780.00","523439.00","Fresh Only"
"463","Round 1","NOIDA INSTITUTE OF ENGG. & TECHNOLOGY,GAUTAM BUDDH NAGAR","BCA (FW)","BCA","Home State","OPEN(TF)","Both Male and Female Seats","55241.00","342474.00","Fresh Only"
"464","Round 1","NOIDA INSTITUTE OF ENGG. & TECHNOLOGY,GAUTAM BUDDH NAGAR","Electronics Engineering (VLSI Design and Technology)","B.E./B. Tech (Lateral Entry)","Home State","OPEN","Both Male and Female Seats","144280.00","144280.00","Fresh Only"
"465","Round 1","B.B.S.COLLEGE OF ENGGINERING AND TECHNOLOGY,ALLAHABAD","Civil Engineering","B.E./B. Tech (Lateral Entry)","Home State","BC","Both Male and Female Seats","167348.00","167348.00","Fresh Only"
"466","Round 1","B.B.S.COLLEGE OF ENGGINERING AND TECHNOLOGY,ALLAHABAD","Civil Engineering","B.E./B. Tech (Lateral Entry)","Home State","OPEN(GIRL)","Female Seats","142323.00","142323.00","Fresh Only"
"467","Round 1","B.B.S.COLLEGE OF ENGGINERING AND TECHNOLOGY,ALLAHABAD","Civil Engineering","B.E./B. Tech (Lateral Entry)","Home State","OPEN","Both Male and Female Seats","36025.00","160962.00","Fresh Only"
"468","Round 1","B.B.S.COLLEGE OF ENGGINERING AND TECHNOLOGY,ALLAHABAD","Electrical & Electronics Engineering","B.E./B. Tech (Lateral Entry)","Home State","BC","Both Male and Female Seats","203653.00","203653.00","Fresh Only"
"469","Round 1","B.B.S.COLLEGE OF ENGGINERING AND TECHNOLOGY,ALLAHABAD","Electrical & Electronics Engineering","B.E./B. Tech (Lateral Entry)","Home State","OPEN(GIRL)","Female Seats","140071.00","140071.00","Fresh Only"
"470","Round 1","B.B.S.COLLEGE OF ENGGINERING AND TECHNOLOGY,ALLAHABAD","Electrical & Electronics Engineering","B.E./B. Tech (Lateral Entry)","Home State","OPEN","Both Male and Female Seats","24888.00","54255.00","Fresh Only"
"471","Round 1","B.B.S.COLLEGE OF ENGGINERING AND TECHNOLOGY,ALLAHABAD","Electrical & Electronics Engineering","B.E./B. Tech (Lateral Entry)","Home State","SC","Both Male and Female Seats","119886.00","119886.00","Fresh Only"
"472","Round 1","B.B.S.COLLEGE OF ENGGINERING AND TECHNOLOGY,ALLAHABAD","Mechanical Engineering","B.E./B. Tech (Lateral Entry)","Home State","BC","Both Male and Female Seats","163636.00","164088.00","Fresh Only"
"473","Round 1","B.B.S.COLLEGE OF ENGGINERING AND TECHNOLOGY,ALLAHABAD","Mechanical Engineering","B.E./B. Tech (Lateral Entry)","Home State","OPEN(GIRL)","Female Seats","82773.00","82773.00","Fresh Only"
"474","Round 1","B.B.S.COLLEGE OF ENGGINERING AND TECHNOLOGY,ALLAHABAD","Mechanical Engineering","B.E./B. Tech (Lateral Entry)","Home State","OPEN","Both Male and Female Seats","112653.00","149249.00","Fresh Only"
"475","Round 1","B.B.S.COLLEGE OF ENGGINERING AND TECHNOLOGY,ALLAHABAD","Computer Science & Engineering","B.E./B. Tech (Lateral Entry)","Home State","OPEN(GIRL)","Female Seats","75338.00","75338.00","Fresh Only"
"476","Round 1","B.B.S.COLLEGE OF ENGGINERING AND TECHNOLOGY,ALLAHABAD","Computer Science & Engineering","B.E./B. Tech (Lateral Entry)","Home State","OPEN","Both Male and Female Seats","79262.00","218055.00","Fresh Only"
"477","Round 1","KALICHARAN NIGAM INSTITUTE OF TECHNOLOGY,BANDA","Civil Engineering","B.E./B. Tech (Lateral Entry)","Home State","BC","Both Male and Female Seats","160708.00","160708.00","Fresh Only"
"478","Round 1","KALICHARAN NIGAM INSTITUTE OF TECHNOLOGY,BANDA","Electrical & Electronics Engineering","B.E./B. Tech (Lateral Entry)","Home State","OPEN","Both Male and Female Seats","158410.00","158410.00","Fresh Only"
"479","Round 1","KALICHARAN NIGAM INSTITUTE OF TECHNOLOGY,BANDA","Computer Science & Engineering","B.E./B. Tech (Lateral Entry)","Home State","OPEN","Both Male and Female Seats","234663.00","234663.00","Fresh Only"
"480","Round 1","SAGAR INSTITUTE OF TECHNOLOGY & MANAGEMENT,BARABANKI","Civil Engineering","B.E./B. Tech (Lateral Entry)","Home State","OPEN","Both Male and Female Seats","93643.00","229226.00","Fresh Only"
"481","Round 1","SAGAR INSTITUTE OF TECHNOLOGY & MANAGEMENT,BARABANKI","Information Technology","B.E./B. Tech (Lateral Entry)","Home State","OPEN","Both Male and Female Seats","76747.00","76747.00","Fresh Only"
"482","Round 1","SAGAR INSTITUTE OF TECHNOLOGY & MANAGEMENT,BARABANKI","Electrical Engineering","B.E./B. Tech (Lateral Entry)","Home State","BC","Both Male and Female Seats","220283.00","220283.00","Fresh Only"
"483","Round 1","SAGAR INSTITUTE OF TECHNOLOGY & MANAGEMENT,BARABANKI","Electrical Engineering","B.E./B. Tech (Lateral Entry)","Home State","OPEN","Both Male and Female Seats","149314.00","164587.00","Fresh Only"
"484","Round 1","SAGAR INSTITUTE OF TECHNOLOGY & MANAGEMENT,BARABANKI","Computer Science & Engineering","B.E./B. Tech (Lateral Entry)","Home State","OPEN(GIRL)","Female Seats","194055.00","194055.00","Fresh Only"
"485","Round 1","SAGAR INSTITUTE OF TECHNOLOGY & MANAGEMENT,BARABANKI","Artificial Intelligence And Machine Learning","B.E./B. Tech (Lateral Entry)","Home State","OPEN","Both Male and Female Seats","114345.00","114345.00","Fresh Only"
"486","Round 1","I.M.S. ENGINEERING COLLEGE,GHAZIABAD","Computer Science & Engineering","B.E./B. Tech (Lateral Entry)","Home State","OPEN","Both Male and Female Seats","223822.00","223822.00","Fresh Only"
"487","Round 1","I.M.S. ENGINEERING COLLEGE,GHAZIABAD","Electronics & Communication","B.E./B. Tech (Lateral Entry)","Home State","OPEN","Both Male and Female Seats","135475.00","135475.00","Fresh Only"
"488","Round 1","PRASAD INSTITUTE OF TECHNOLOGY,JAUNPUR","Mechanical Engineering","B.E./B. Tech (Lateral Entry)","Home State","OPEN","Both Male and Female Seats","194748.00","206132.00","Fresh Only"
"489","Round 1","PRASAD INSTITUTE OF TECHNOLOGY,JAUNPUR","Bachelor of Pharmacy","B. Pharma (Lateral Entry)","Home State","BC(Girl)","Female Seats","641495.00","641495.00","Fresh Only"
"490","Round 1","PRASAD INSTITUTE OF TECHNOLOGY,JAUNPUR","Bachelor of Pharmacy","B. Pharma (Lateral Entry)","Home State","OPEN","Both Male and Female Seats","380677.00","380677.00","Fresh Only"
"491","Round 1","PRASAD INSTITUTE OF TECHNOLOGY,JAUNPUR","Computer Science & Engineering","B.E./B. Tech (Lateral Entry)","Home State","OPEN","Both Male and Female Seats","59439.00","217391.00","Fresh Only"
"492","Round 1","S R GROUP OF INSTITUTIONS (COLLEGE OF SCIENCE AND ENGINEERING),JHANSI","Civil Engineering","B.E./B. Tech (Lateral Entry)","Home State","OPEN","Both Male and Female Seats","133954.00","133954.00","Fresh Only"
"493","Round 1","S R GROUP OF INSTITUTIONS (COLLEGE OF SCIENCE AND ENGINEERING),JHANSI","Civil Engineering","B.E./B. Tech (Lateral Entry)","Home State","SC","Both Male and Female Seats","144394.00","144394.00","Fresh Only"
"494","Round 1","S R GROUP OF INSTITUTIONS (COLLEGE OF SCIENCE AND ENGINEERING),JHANSI","Electrical Engineering","B.E./B. Tech (Lateral Entry)","Home State","OPEN","Both Male and Female Seats","92877.00","92877.00","Fresh Only"
"495","Round 1","S R GROUP OF INSTITUTIONS (COLLEGE OF SCIENCE AND ENGINEERING),JHANSI","Computer Science & Engineering","B.E./B. Tech (Lateral Entry)","Home State","OPEN","Both Male and Female Seats","90737.00","90737.00","Fresh Only"
"496","Round 1","S R GROUP OF INSTITUTIONS (COLLEGE OF SCIENCE AND ENGINEERING),JHANSI","Computer Science & Engineering (Cyber Security)","B.E./B. Tech (Lateral Entry)","Home State","OPEN","Both Male and Female Seats","143918.00","143918.00","Fresh Only"
"497","Round 1","S R GROUP OF INSTITUTIONS (COLLEGE OF SCIENCE AND ENGINEERING),JHANSI","BBA","BBA/BMS","Home State","OPEN(GIRL)","Female Seats","306999.00","374102.00","Fresh Only"
"498","Round 1","S R GROUP OF INSTITUTIONS (COLLEGE OF SCIENCE AND ENGINEERING),JHANSI","BBA","BBA/BMS","Home State","OPEN","Both Male and Female Seats","323617.00","513042.00","Fresh Only"
"499","Round 1","S R GROUP OF INSTITUTIONS (COLLEGE OF SCIENCE AND ENGINEERING),JHANSI","BCA","BCA","Home State","OPEN(GIRL)","Female Seats","305378.00","305378.00","Fresh Only"
"500","Round 1","S R GROUP OF INSTITUTIONS (COLLEGE OF SCIENCE AND ENGINEERING),JHANSI","BCA","BCA","Home State","OPEN","Both Male and Female Seats","329087.00","329087.00","Fresh Only"
"501","Round 1","GLOBAL INSTITUTE OF INFORMATION TECHNOLOGY,GAUTAM BUDDH NAGAR","MCA(Integrated)","M.C.A. (INTEGRATED)","Home State","OPEN(GIRL)","Female Seats","78999.00","78999.00","Fresh Only"
